,title,price
152,[EASY] REDMI 10A (3+64GB) / REDMI 10C(4+64GB)(4+128GB) Snapdragon 680/ REDMI 10 (4+64GB) (6+128GB)50MP QUAD CAM ORIGINAL XIAOMI 1 YEAR WARRANTY,RM419.00
153,Xiaomi Redmi Note 11 Pro – 6GB + 128GB / 8GB + 128GB | 6.67″ FHD+ AMOLED DotDisplay | MediaTek Helio G96 Processor,"RM1,059.00"
154,{EASY] ORIGINAL MY SET REDMI 9A (2+32GB) / 9C (3+64GB/4+128GB)/ REDMI 10 (4+64GB/6+128GB),RM319.00
155,(HOT DEAL) 5G REDMI NOTE 11T PRO (10GB/512GB) IMPORT NEW SET,RM218.00
156,Redmi Note 3 Dual SIM Dual Standby 5.5 Inch 3GB RAM 32GB ROM Original import Used set,RM179.00
157,REDMI NOTE 10 PRO 8+128 [READY STOCK] 1YEAR WARRANTY BY XIAOMI MALAYSIA,"RM1,139.00"
158,(HOT DEAL) 5G REDMI NOTE 11E (10GB/512GB) IMPORT NEW SET,RM218.00
159,(MYSET) XIAOMI REDMI NOTE 11 (6GB RAM + 128GB ROM) 6.43FHD+90Hz AMOLED DotDisplay | 6nm Snapdragon 680 | 33W Pro fast charging | 5000mAH | 50MP AI quad camera | Dual Speakers,RM759.00
160,Xiaomi Redmi 9A Smartphone | 6.53 Large Display | 5000mAh battery | Original Xiaomi Malaysia | Ready Stock,RM335.00
161,Original Redmi Note 11 Pro 5G (8GB+128GB) Original Xiaomi Malaysia Set 1 Year Official Warranty,"RM1,179.00"
162,"Redmi 10C (4GB RAM+64GB ROM) Snapdragon® 680 Lightning-fast UFS memory, Immersive 6.71"" display Powerful speaker with vibrant sound,5000mAh battery Supports 18W fast chargingSmartphone with 1 Year Xiaomi Malaysia Warranty",RM525.00
163,Redmi 10C (4GB RAM + 64GB / 128GB ROM) Original and 1 Year Warranty By Redmi Malaysia,RM519.00
164,smartphone Global version 90% new Xiaomi Redmi Note 8 global rom Snapdragon 665 48MP 4000mAh 18W Fast Charge,RM450.00
165,Xiaomi Redmi A1 [ 2GB RAM | 32GB ROM ] - 1 Year Warranty By Xiaomi Malaysia,RM339.00
166,Redmi 7A 2+16 4G,RM258.00
